ISim log file
Running: D:\Desktop\CO\P7\CPU\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/Desktop/CO/P7/CPU/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@0000418c: $ 6 <= 0000004f
@00004180: $ 5 <= 000032ac
@00004184: $ 4 <= 000032b0
@00004188: $ 1 <= 00000051
@0000418c: $ 6 <= 00000052
@00004180: $ 5 <= 000032b0
@00004184: $ 4 <= 000032b4
@00004188: $ 1 <= 00000054
@0000418c: $ 6 <= 00000055
@00004180: $ 5 <= 000032b4
@00004184: $ 4 <= 000032b8
@00004188: $ 1 <= 00000057
@0000418c: $ 6 <= 00000058
@00004180: $ 5 <= 000032b8
@00004184: $ 4 <= 000032bc
@00004188: $ 1 <= 0000005a
@0000418c: $ 6 <= 0000005b
@00004180: $ 5 <= 000032bc
@00004184: $ 4 <= 000032c0
@00004188: $ 1 <= 0000005d
@0000418c: $ 6 <= 0000005e
@00004180: $ 5 <= 000032c0
@00004184: $ 4 <= 000032c4
@00004188: $ 1 <= 00000060
@0000418c: $ 6 <= 00000061
@00004180: $ 5 <= 000032c4
@00004184: $ 4 <= 000032c8
@00004188: $ 1 <= 00000063
@0000418c: $ 6 <= 00000064
@00004180: $ 5 <= 000032c8
@00004184: $ 4 <= 000032cc
@00004188: $ 1 <= 00000066
@0000418c: $ 6 <= 00000067
@00004180: $ 5 <= 000032cc
@00004184: $ 4 <= 000032d0
@00004188: $ 1 <= 00000069
@0000418c: $ 6 <= 0000006a
@00004180: $ 5 <= 000032d0
@00004184: $ 4 <= 000032d4
@00004188: $ 1 <= 0000006c
@0000418c: $ 6 <= 0000006d
@00004180: $ 5 <= 000032d4
@00004184: $ 4 <= 000032d8
@00004188: $ 1 <= 0000006f
@0000418c: $ 6 <= 00000070
@00004180: $ 5 <= 000032d8
@00004184: $ 4 <= 000032dc
@00004188: $ 1 <= 00000072
@0000418c: $ 6 <= 00000073
@00004180: $ 5 <= 000032dc
@00004184: $ 4 <= 000032e0
@00004188: $ 1 <= 00000075
@0000418c: $ 6 <= 00000076
@00004180: $ 5 <= 000032e0
@00004184: $ 4 <= 000032e4
@00004188: $ 1 <= 00000078
@0000418c: $ 6 <= 00000079
@00004180: $ 5 <= 000032e4
@00004184: $ 4 <= 000032e8
@00004188: $ 1 <= 0000007b
@0000418c: $ 6 <= 0000007c
@00004180: $ 5 <= 000032e8
@00004184: $ 4 <= 000032ec
@00004188: $ 1 <= 0000007e
@0000418c: $ 6 <= 0000007f
@00004180: $ 5 <= 000032ec
@00004184: $ 4 <= 000032f0
@00004188: $ 1 <= 00000081
@0000418c: $ 6 <= 00000082
@00004180: $ 5 <= 000032f0
@00004184: $ 4 <= 000032f4
@00004188: $ 1 <= 00000084
@0000418c: $ 6 <= 00000085
@00004180: $ 5 <= 000032f4
@00004184: $ 4 <= 000032f8
@00004188: $ 1 <= 00000087
@0000418c: $ 6 <= 00000088
@00004180: $ 5 <= 000032f8
@00004184: $ 4 <= 000032fc
@00004188: $ 1 <= 0000008a
@0000418c: $ 6 <= 0000008b
@00004180: $ 5 <= 000032fc
@00004184: $ 4 <= 00003300
@00004188: $ 1 <= 0000008d
@0000418c: $ 6 <= 0000008e
@00003300: $ 1 <= 00000000
@00003304: $ 1 <= 00000000
@00003308: $ 1 <= 00000000
@00004180: $ 5 <= 00003318
@00004184: $ 4 <= 0000331c
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 0000331c
@00004184: $ 4 <= 00003320
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00003320: $ 1 <= 00000000
@00004180: $ 5 <= 00003324
@00004184: $ 4 <= 00003328
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 00003328
@00004184: $ 4 <= 0000332c
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 00003330
@00004184: $ 4 <= 00003334
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
@00003334: $ 1 <= 00000000
@00003338: $ 1 <= 00000000
@00004180: $ 5 <= 0000333c
@00004184: $ 4 <= 00003340
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 00003348
@00004184: $ 4 <= 0000334c
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 0000334c
@00004184: $ 4 <= 00003350
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
# run 10us
@00003350: $ 1 <= 00000000
@00004180: $ 5 <= 00003354
@00004184: $ 4 <= 00003358
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 00003358
@00004184: $ 4 <= 0000335c
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 00003360
@00004184: $ 4 <= 00003364
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
@00004180: $ 5 <= 00003364
@00004184: $ 4 <= 00003368
@00004188: $ 1 <= 0000000c
@0000418c: $ 6 <= 0000000d
@00004180: $ 5 <= 00003368
@00004184: $ 4 <= 0000336c
@00004188: $ 1 <= 0000000f
@0000418c: $ 6 <= 00000010
@00004180: $ 5 <= 0000336c
@00004184: $ 4 <= 00003370
@00004188: $ 1 <= 00000012
@0000418c: $ 6 <= 00000013
@00004180: $ 5 <= 00003370
@00004184: $ 4 <= 00003374
@00004188: $ 1 <= 00000015
@0000418c: $ 6 <= 00000016
@00004180: $ 5 <= 00003374
@00004184: $ 4 <= 00003378
@00004188: $ 1 <= 00000018
@0000418c: $ 6 <= 00000019
@00004180: $ 5 <= 00003378
@00004184: $ 4 <= 0000337c
@00004188: $ 1 <= 0000001b
@0000418c: $ 6 <= 0000001c
@00004180: $ 5 <= 0000337c
@00004184: $ 4 <= 00003380
@00004188: $ 1 <= 0000001e
@0000418c: $ 6 <= 0000001f
@00004180: $ 5 <= 00003380
@00004184: $ 4 <= 00003384
@00004188: $ 1 <= 00000021
@0000418c: $ 6 <= 00000022
@00004180: $ 5 <= 00003384
@00004184: $ 4 <= 00003388
@00004188: $ 1 <= 00000024
@0000418c: $ 6 <= 00000025
@00004180: $ 5 <= 00003388
@00004184: $ 4 <= 0000338c
@00004188: $ 1 <= 00000027
@0000418c: $ 6 <= 00000028
@00004180: $ 5 <= 0000338c
@00004184: $ 4 <= 00003390
@00004188: $ 1 <= 0000002a
@0000418c: $ 6 <= 0000002b
@00004180: $ 5 <= 00003390
@00004184: $ 4 <= 00003394
@00004188: $ 1 <= 0000002d
@0000418c: $ 6 <= 0000002e
@00004180: $ 5 <= 00003394
@00004184: $ 4 <= 00003398
@00004188: $ 1 <= 00000030
@0000418c: $ 6 <= 00000031
@00004180: $ 5 <= 00003398
@00004184: $ 4 <= 0000339c
@00004188: $ 1 <= 00000033
@0000418c: $ 6 <= 00000034
@00004180: $ 5 <= 0000339c
@00004184: $ 4 <= 000033a0
@00004188: $ 1 <= 00000036
@0000418c: $ 6 <= 00000037
@00004180: $ 5 <= 000033a0
@00004184: $ 4 <= 000033a4
@00004188: $ 1 <= 00000039
@0000418c: $ 6 <= 0000003a
@00004180: $ 5 <= 000033a4
@00004184: $ 4 <= 000033a8
@00004188: $ 1 <= 0000003c
@0000418c: $ 6 <= 0000003d
@00004180: $ 5 <= 000033a8
@00004184: $ 4 <= 000033ac
@00004188: $ 1 <= 0000003f
@0000418c: $ 6 <= 00000040
@00004180: $ 5 <= 000033ac
@00004184: $ 4 <= 000033b0
@00004188: $ 1 <= 00000042
@0000418c: $ 6 <= 00000043
@00004180: $ 5 <= 000033b0
@00004184: $ 4 <= 000033b4
@00004188: $ 1 <= 00000045
@0000418c: $ 6 <= 00000046
@00004180: $ 5 <= 000033b4
@00004184: $ 4 <= 000033b8
@00004188: $ 1 <= 00000048
@0000418c: $ 6 <= 00000049
@00004180: $ 5 <= 000033b8
@00004184: $ 4 <= 000033bc
@00004188: $ 1 <= 0000004b
@0000418c: $ 6 <= 0000004c
@00004180: $ 5 <= 000033bc
@00004184: $ 4 <= 000033c0
@00004188: $ 1 <= 0000004e
@0000418c: $ 6 <= 0000004f
@00004180: $ 5 <= 000033c0
@00004184: $ 4 <= 000033c4
@00004188: $ 1 <= 00000051
@0000418c: $ 6 <= 00000052
@00004180: $ 5 <= 000033c4
@00004184: $ 4 <= 000033c8
@00004188: $ 1 <= 00000054
@0000418c: $ 6 <= 00000055
@00004180: $ 5 <= 000033c8
@00004184: $ 4 <= 000033cc
@00004188: $ 1 <= 00000057
@0000418c: $ 6 <= 00000058
@00004180: $ 5 <= 000033cc
@00004184: $ 4 <= 000033d0
@00004188: $ 1 <= 0000005a
@0000418c: $ 6 <= 0000005b
@00004180: $ 5 <= 000033d0
@00004184: $ 4 <= 000033d4
@00004188: $ 1 <= 0000005d
@0000418c: $ 6 <= 0000005e
@00004180: $ 5 <= 000033d4
@00004184: $ 4 <= 000033d8
@00004188: $ 1 <= 00000060
@0000418c: $ 6 <= 00000061
@00004180: $ 5 <= 000033d8
@00004184: $ 4 <= 000033dc
@00004188: $ 1 <= 00000063
@0000418c: $ 6 <= 00000064
@00004180: $ 5 <= 000033dc
@00004184: $ 4 <= 000033e0
@00004188: $ 1 <= 00000066
@0000418c: $ 6 <= 00000067
@00004180: $ 5 <= 000033e0
@00004184: $ 4 <= 000033e4
@00004188: $ 1 <= 00000069
@0000418c: $ 6 <= 0000006a
@00004180: $ 5 <= 000033e4
@00004184: $ 4 <= 000033e8
@00004188: $ 1 <= 0000006c
@0000418c: $ 6 <= 0000006d
@00004180: $ 5 <= 000033e8
@00004184: $ 4 <= 000033ec
@00004188: $ 1 <= 0000006f
@0000418c: $ 6 <= 00000070
@00004180: $ 5 <= 000033ec
@00004184: $ 4 <= 000033f0
@00004188: $ 1 <= 00000072
@0000418c: $ 6 <= 00000073
@00004180: $ 5 <= 000033f0
@00004184: $ 4 <= 000033f4
@00004188: $ 1 <= 00000075
@0000418c: $ 6 <= 00000076
@00004180: $ 5 <= 000033f4
@00004184: $ 4 <= 000033f8
@00004188: $ 1 <= 00000078
@0000418c: $ 6 <= 00000079
@00004180: $ 5 <= 000033f8
@00004184: $ 4 <= 000033fc
@00004188: $ 1 <= 0000007b
@0000418c: $ 6 <= 0000007c
@00004180: $ 5 <= 000033fc
@00004184: $ 4 <= 00003400
@00004188: $ 1 <= 0000007e
@0000418c: $ 6 <= 0000007f
@00004180: $ 5 <= 00003400
@00004184: $ 4 <= 00003404
@00004188: $ 1 <= 00000081
@0000418c: $ 6 <= 00000082
@00004180: $ 5 <= 00003404
@00004184: $ 4 <= 00003408
@00004188: $ 1 <= 00000084
@0000418c: $ 6 <= 00000085
@00004180: $ 5 <= 00003408
@00004184: $ 4 <= 0000340c
@00004188: $ 1 <= 00000087
@0000418c: $ 6 <= 00000088
@00004180: $ 5 <= 0000340c
@00004184: $ 4 <= 00003410
@00004188: $ 1 <= 0000008a
@0000418c: $ 6 <= 0000008b
@00004180: $ 5 <= 00003410
@00004184: $ 4 <= 00003414
@00004188: $ 1 <= 0000008d
@0000418c: $ 6 <= 0000008e
@00004180: $ 5 <= 00003414
@00004184: $ 4 <= 00003418
@00004188: $ 1 <= 00000090
@0000418c: $ 6 <= 00000091
@00004180: $ 5 <= 00003418
@00004184: $ 4 <= 0000341c
@00004188: $ 1 <= 00000093
@0000418c: $ 6 <= 00000094
@00004180: $ 5 <= 0000341c
@00004184: $ 4 <= 00003420
@00004188: $ 1 <= 00000096
@0000418c: $ 6 <= 00000097
@00004180: $ 5 <= 00003420
@00004184: $ 4 <= 00003424
@00004188: $ 1 <= 00000099
@0000418c: $ 6 <= 0000009a
@00004180: $ 5 <= 00003424
@00004184: $ 4 <= 00003428
@00004188: $ 1 <= 0000009c
@0000418c: $ 6 <= 0000009d
@00004180: $ 5 <= 00003428
@00004184: $ 4 <= 0000342c
@00004188: $ 1 <= 0000009f
@0000418c: $ 6 <= 000000a0
@00004180: $ 5 <= 0000342c
@00004184: $ 4 <= 00003430
@00004188: $ 1 <= 000000a2
@0000418c: $ 6 <= 000000a3
@00004180: $ 5 <= 00003430
@00004184: $ 4 <= 00003434
@00004188: $ 1 <= 000000a5
@0000418c: $ 6 <= 000000a6
@00004180: $ 5 <= 00003434
@00004184: $ 4 <= 00003438
@00004188: $ 1 <= 000000a8
@0000418c: $ 6 <= 000000a9
@00004180: $ 5 <= 00003438
@00004184: $ 4 <= 0000343c
@00004188: $ 1 <= 000000ab
@0000418c: $ 6 <= 000000ac
@00004180: $ 5 <= 0000343c
@00004184: $ 4 <= 00003440
@00004188: $ 1 <= 000000ae
@0000418c: $ 6 <= 000000af
@00004180: $ 5 <= 00003440
@00004184: $ 4 <= 00003444
@00004188: $ 1 <= 000000b1
@0000418c: $ 6 <= 000000b2
@00004180: $ 5 <= 00003444
@00004184: $ 4 <= 00003448
@00004188: $ 1 <= 000000b4
@0000418c: $ 6 <= 000000b5
@00004180: $ 5 <= 00003448
@00004184: $ 4 <= 0000344c
@00004188: $ 1 <= 000000b7
@0000418c: $ 6 <= 000000b8
@00004180: $ 5 <= 0000344c
@00004184: $ 4 <= 00003450
@00004188: $ 1 <= 000000ba
@0000418c: $ 6 <= 000000bb
@00004180: $ 5 <= 00003450
@00004184: $ 4 <= 00003454
@00004188: $ 1 <= 000000bd
@0000418c: $ 6 <= 000000be
@00004180: $ 5 <= 00003454
@00004184: $ 4 <= 00003458
@00004188: $ 1 <= 000000c0
@0000418c: $ 6 <= 000000c1
@00004180: $ 5 <= 00003458
@00004184: $ 4 <= 0000345c
@00004188: $ 1 <= 000000c3
@0000418c: $ 6 <= 000000c4
@00004180: $ 5 <= 0000345c
@00004184: $ 4 <= 00003460
@00004188: $ 1 <= 000000c6
@0000418c: $ 6 <= 000000c7
@00004180: $ 5 <= 00003460
@00004184: $ 4 <= 00003464
@00004188: $ 1 <= 000000c9
@0000418c: $ 6 <= 000000ca
@00004180: $ 5 <= 00003464
@00004184: $ 4 <= 00003468
@00004188: $ 1 <= 000000cc
@0000418c: $ 6 <= 000000cd
@00004180: $ 5 <= 00003468
@00004184: $ 4 <= 0000346c
@00004188: $ 1 <= 000000cf
@0000418c: $ 6 <= 000000d0
@00004180: $ 5 <= 0000346c
@00004184: $ 4 <= 00003470
@00004188: $ 1 <= 000000d2
@0000418c: $ 6 <= 000000d3
@00004180: $ 5 <= 00003470
@00004184: $ 4 <= 00003474
@00004188: $ 1 <= 000000d5
@0000418c: $ 6 <= 000000d6
@00004180: $ 5 <= 00003474
@00004184: $ 4 <= 00003478
@00004188: $ 1 <= 000000d8
@0000418c: $ 6 <= 000000d9
@00004180: $ 5 <= 00003478
@00004184: $ 4 <= 0000347c
@00004188: $ 1 <= 000000db
@0000418c: $ 6 <= 000000dc
@00004180: $ 5 <= 0000347c
@00004184: $ 4 <= 00003480
@00004188: $ 1 <= 000000de
@0000418c: $ 6 <= 000000df
@00004180: $ 5 <= 00003480
@00004184: $ 4 <= 00003484
@00004188: $ 1 <= 000000e1
@0000418c: $ 6 <= 000000e2
@00004180: $ 5 <= 00003484
@00004184: $ 4 <= 00003488
@00004188: $ 1 <= 000000e4
@0000418c: $ 6 <= 000000e5
@00004180: $ 5 <= 00003488
@00004184: $ 4 <= 0000348c
@00004188: $ 1 <= 000000e7
@0000418c: $ 6 <= 000000e8
@00004180: $ 5 <= 0000348c
@00004184: $ 4 <= 00003490
@00004188: $ 1 <= 000000ea
@0000418c: $ 6 <= 000000eb
@00004180: $ 5 <= 00003490
@00004184: $ 4 <= 00003494
@00004188: $ 1 <= 000000ed
@0000418c: $ 6 <= 000000ee
@00004180: $ 5 <= 00003494
@00004184: $ 4 <= 00003498
@00004188: $ 1 <= 000000f0
@0000418c: $ 6 <= 000000f1
@00004180: $ 5 <= 00003498
@00004184: $ 4 <= 0000349c
@00004188: $ 1 <= 000000f3
@0000418c: $ 6 <= 000000f4
@00004180: $ 5 <= 0000349c
@00004184: $ 4 <= 000034a0
@00004188: $ 1 <= 000000f6
@0000418c: $ 6 <= 000000f7
@00004180: $ 5 <= 000034a0
@00004184: $ 4 <= 000034a4
@00004188: $ 1 <= 000000f9
@0000418c: $ 6 <= 000000fa
@00004180: $ 5 <= 000034a4
@00004184: $ 4 <= 000034a8
@00004188: $ 1 <= 000000fc
@0000418c: $ 6 <= 000000fd
@00004180: $ 5 <= 000034a8
@00004184: $ 4 <= 000034ac
@00004188: $ 1 <= 000000ff
@0000418c: $ 6 <= 00000100
@00004180: $ 5 <= 000034ac
@00004184: $ 4 <= 000034b0
@00004188: $ 1 <= 00000102
@0000418c: $ 6 <= 00000103
@00004180: $ 5 <= 000034b0
@00004184: $ 4 <= 000034b4
@00004188: $ 1 <= 00000105
@0000418c: $ 6 <= 00000106
@00004180: $ 5 <= 000034b4
@00004184: $ 4 <= 000034b8
@00004188: $ 1 <= 00000108
@0000418c: $ 6 <= 00000109
@00004180: $ 5 <= 000034b8
@00004184: $ 4 <= 000034bc
@00004188: $ 1 <= 0000010b
@0000418c: $ 6 <= 0000010c
@00004180: $ 5 <= 000034bc
@00004184: $ 4 <= 000034c0
@00004188: $ 1 <= 0000010e
@0000418c: $ 6 <= 0000010f
@00004180: $ 5 <= 000034c0
@00004184: $ 4 <= 000034c4
@00004188: $ 1 <= 00000111
@0000418c: $ 6 <= 00000112
@00004180: $ 5 <= 000034c4
@00004184: $ 4 <= 000034c8
@00004188: $ 1 <= 00000114
@0000418c: $ 6 <= 00000115
@00004180: $ 5 <= 000034c8
@00004184: $ 4 <= 000034cc
@00004188: $ 1 <= 00000117
@0000418c: $ 6 <= 00000118
@00004180: $ 5 <= 000034cc
@00004184: $ 4 <= 000034d0
@00004188: $ 1 <= 0000011a
@0000418c: $ 6 <= 0000011b
@00004180: $ 5 <= 000034d0
@00004184: $ 4 <= 000034d4
@00004188: $ 1 <= 0000011d
@0000418c: $ 6 <= 0000011e
@00004180: $ 5 <= 000034d4
@00004184: $ 4 <= 000034d8
@00004188: $ 1 <= 00000120
@0000418c: $ 6 <= 00000121
@00004180: $ 5 <= 000034d8
@00004184: $ 4 <= 000034dc
@00004188: $ 1 <= 00000123
@0000418c: $ 6 <= 00000124
@00004180: $ 5 <= 000034dc
@00004184: $ 4 <= 000034e0
@00004188: $ 1 <= 00000126
@0000418c: $ 6 <= 00000127
@00004180: $ 5 <= 000034e0
@00004184: $ 4 <= 000034e4
@00004188: $ 1 <= 00000129
@0000418c: $ 6 <= 0000012a
@00004180: $ 5 <= 000034e4
@00004184: $ 4 <= 000034e8
@00004188: $ 1 <= 0000012c
@0000418c: $ 6 <= 0000012d
@00004180: $ 5 <= 000034e8
@00004184: $ 4 <= 000034ec
@00004188: $ 1 <= 0000012f
@0000418c: $ 6 <= 00000130
@00004180: $ 5 <= 000034ec
@00004184: $ 4 <= 000034f0
@00004188: $ 1 <= 00000132
@0000418c: $ 6 <= 00000133
@00004180: $ 5 <= 000034f0
@00004184: $ 4 <= 000034f4
@00004188: $ 1 <= 00000135
@0000418c: $ 6 <= 00000136
@00004180: $ 5 <= 000034f4
@00004184: $ 4 <= 000034f8
@00004188: $ 1 <= 00000138
@0000418c: $ 6 <= 00000139
@00004180: $ 5 <= 000034f8
@00004184: $ 4 <= 000034fc
@00004188: $ 1 <= 0000013b
@0000418c: $ 6 <= 0000013c
@00004180: $ 5 <= 000034fc
@00004184: $ 4 <= 00003500
@00004188: $ 1 <= 0000013e
@0000418c: $ 6 <= 0000013f
@00004180: $ 5 <= 00003500
@00004184: $ 4 <= 00003504
@00004188: $ 1 <= 00000141
@0000418c: $ 6 <= 00000142
@00004180: $ 5 <= 00003504
@00004184: $ 4 <= 00003508
@00004188: $ 1 <= 00000144
@0000418c: $ 6 <= 00000145
@00004180: $ 5 <= 00003508
@00004184: $ 4 <= 0000350c
@00004188: $ 1 <= 00000147
@0000418c: $ 6 <= 00000148
@00004180: $ 5 <= 0000350c
@00004184: $ 4 <= 00003510
@00004188: $ 1 <= 0000014a
@0000418c: $ 6 <= 0000014b
@00004180: $ 5 <= 00003510
@00004184: $ 4 <= 00003514
@00004188: $ 1 <= 0000014d
@0000418c: $ 6 <= 0000014e
@00004180: $ 5 <= 00003514
@00004184: $ 4 <= 00003518
@00004188: $ 1 <= 00000150
@0000418c: $ 6 <= 00000151
@00004180: $ 5 <= 00003518
@00004184: $ 4 <= 0000351c
@00004188: $ 1 <= 00000153
@0000418c: $ 6 <= 00000154
@00004180: $ 5 <= 0000351c
@00004184: $ 4 <= 00003520
@00004188: $ 1 <= 00000156
@0000418c: $ 6 <= 00000157
@00004180: $ 5 <= 00003520
@00004184: $ 4 <= 00003524
@00004188: $ 1 <= 00000159
@0000418c: $ 6 <= 0000015a
@00004180: $ 5 <= 00003524
@00004184: $ 4 <= 00003528
@00004188: $ 1 <= 0000015c
@0000418c: $ 6 <= 0000015d
@00004180: $ 5 <= 00003528
@00004184: $ 4 <= 0000352c
@00004188: $ 1 <= 0000015f
@0000418c: $ 6 <= 00000160
@00004180: $ 5 <= 0000352c
@00004184: $ 4 <= 00003530
@00004188: $ 1 <= 00000162
@0000418c: $ 6 <= 00000163
@00004180: $ 5 <= 00003530
@00004184: $ 4 <= 00003534
@00004188: $ 1 <= 00000165
@0000418c: $ 6 <= 00000166
@00004180: $ 5 <= 00003534
@00004184: $ 4 <= 00003538
@00004188: $ 1 <= 00000168
@0000418c: $ 6 <= 00000169
@00004180: $ 5 <= 00003538
@00004184: $ 4 <= 0000353c
@00004188: $ 1 <= 0000016b
@0000418c: $ 6 <= 0000016c
@00004180: $ 5 <= 0000353c
@00004184: $ 4 <= 00003540
@00004188: $ 1 <= 0000016e
@0000418c: $ 6 <= 0000016f
@00004180: $ 5 <= 00003540
@00004184: $ 4 <= 00003544
@00004188: $ 1 <= 00000171
@0000418c: $ 6 <= 00000172
@00004180: $ 5 <= 00003544
@00004184: $ 4 <= 00003548
@00004188: $ 1 <= 00000174
@0000418c: $ 6 <= 00000175
@00004180: $ 5 <= 00003548
@00004184: $ 4 <= 0000354c
@00004188: $ 1 <= 00000177
@0000418c: $ 6 <= 00000178
@00004180: $ 5 <= 0000354c
@00004184: $ 4 <= 00003550
@00004188: $ 1 <= 0000017a
@0000418c: $ 6 <= 0000017b
@00004180: $ 5 <= 00003550
@00004184: $ 4 <= 00003554
@00004188: $ 1 <= 0000017d
@0000418c: $ 6 <= 0000017e
@00004180: $ 5 <= 00003554
@00004184: $ 4 <= 00003558
@00004188: $ 1 <= 00000180
@0000418c: $ 6 <= 00000181
@00004180: $ 5 <= 00003558
@00004184: $ 4 <= 0000355c
@00004188: $ 1 <= 00000183
@0000418c: $ 6 <= 00000184
@00004180: $ 5 <= 0000355c
@00004184: $ 4 <= 00003560
@00004188: $ 1 <= 00000186
@0000418c: $ 6 <= 00000187
@00004180: $ 5 <= 00003560
@00004184: $ 4 <= 00003564
@00004188: $ 1 <= 00000189
@0000418c: $ 6 <= 0000018a
@00004180: $ 5 <= 00003564
@00004184: $ 4 <= 00003568
@00004188: $ 1 <= 0000018c
@0000418c: $ 6 <= 0000018d
@00004180: $ 5 <= 00003568
@00004184: $ 4 <= 0000356c
@00004188: $ 1 <= 0000018f
@0000418c: $ 6 <= 00000190
@00004180: $ 5 <= 0000356c
@00004184: $ 4 <= 00003570
@00004188: $ 1 <= 00000192
@0000418c: $ 6 <= 00000193
@00004180: $ 5 <= 00003570
@00004184: $ 4 <= 00003574
@00004188: $ 1 <= 00000195
@0000418c: $ 6 <= 00000196
@00004180: $ 5 <= 00003574
@00004184: $ 4 <= 00003578
@00004188: $ 1 <= 00000198
@0000418c: $ 6 <= 00000199
@00004180: $ 5 <= 00003578
@00004184: $ 4 <= 0000357c
@00004188: $ 1 <= 0000019b
@0000418c: $ 6 <= 0000019c
@00004180: $ 5 <= 0000357c
@00004184: $ 4 <= 00003580
@00004188: $ 1 <= 0000019e
@0000418c: $ 6 <= 0000019f
@00004180: $ 5 <= 00003580
@00004184: $ 4 <= 00003584
@00004188: $ 1 <= 000001a1
@0000418c: $ 6 <= 000001a2
@00004180: $ 5 <= 00003584
@00004184: $ 4 <= 00003588
@00004188: $ 1 <= 000001a4
@0000418c: $ 6 <= 000001a5
@00004180: $ 5 <= 00003588
@00004184: $ 4 <= 0000358c
@00004188: $ 1 <= 000001a7
@0000418c: $ 6 <= 000001a8
@00004180: $ 5 <= 0000358c
@00004184: $ 4 <= 00003590
@00004188: $ 1 <= 000001aa
@0000418c: $ 6 <= 000001ab
@00004180: $ 5 <= 00003590
@00004184: $ 4 <= 00003594
@00004188: $ 1 <= 000001ad
@0000418c: $ 6 <= 000001ae
@00004180: $ 5 <= 00003594
@00004184: $ 4 <= 00003598
@00004188: $ 1 <= 000001b0
@0000418c: $ 6 <= 000001b1
@00004180: $ 5 <= 00003598
@00004184: $ 4 <= 0000359c
@00004188: $ 1 <= 000001b3
@0000418c: $ 6 <= 000001b4
@00004180: $ 5 <= 0000359c
@00004184: $ 4 <= 000035a0
@00004188: $ 1 <= 000001b6
@0000418c: $ 6 <= 000001b7
@00004180: $ 5 <= 000035a0
@00004184: $ 4 <= 000035a4
@00004188: $ 1 <= 000001b9
@0000418c: $ 6 <= 000001ba
@00004180: $ 5 <= 000035a4
@00004184: $ 4 <= 000035a8
@00004188: $ 1 <= 000001bc
@0000418c: $ 6 <= 000001bd
@00004180: $ 5 <= 000035a8
@00004184: $ 4 <= 000035ac
@00004188: $ 1 <= 000001bf
@0000418c: $ 6 <= 000001c0
@00004180: $ 5 <= 000035ac
@00004184: $ 4 <= 000035b0
@00004188: $ 1 <= 000001c2
@0000418c: $ 6 <= 000001c3
@00004180: $ 5 <= 000035b0
@00004184: $ 4 <= 000035b4
@00004188: $ 1 <= 000001c5
@0000418c: $ 6 <= 000001c6
@00004180: $ 5 <= 000035b4
@00004184: $ 4 <= 000035b8
@00004188: $ 1 <= 000001c8
@0000418c: $ 6 <= 000001c9
@00004180: $ 5 <= 000035b8
@00004184: $ 4 <= 000035bc
@00004188: $ 1 <= 000001cb
@0000418c: $ 6 <= 000001cc
@00004180: $ 5 <= 000035bc
@00004184: $ 4 <= 000035c0
@00004188: $ 1 <= 000001ce
@0000418c: $ 6 <= 000001cf
@00004180: $ 5 <= 000035c0
@00004184: $ 4 <= 000035c4
@00004188: $ 1 <= 000001d1
@0000418c: $ 6 <= 000001d2
@00004180: $ 5 <= 000035c4
@00004184: $ 4 <= 000035c8
@00004188: $ 1 <= 000001d4
@0000418c: $ 6 <= 000001d5
@00004180: $ 5 <= 000035c8
@00004184: $ 4 <= 000035cc
@00004188: $ 1 <= 000001d7
@0000418c: $ 6 <= 000001d8
@00004180: $ 5 <= 000035cc
@00004184: $ 4 <= 000035d0
@00004188: $ 1 <= 000001da
@0000418c: $ 6 <= 000001db
@00004180: $ 5 <= 000035d0
@00004184: $ 4 <= 000035d4
@00004188: $ 1 <= 000001dd
@0000418c: $ 6 <= 000001de
@00004180: $ 5 <= 000035d4
@00004184: $ 4 <= 000035d8
@00004188: $ 1 <= 000001e0
@0000418c: $ 6 <= 000001e1
@00004180: $ 5 <= 000035d8
@00004184: $ 4 <= 000035dc
@00004188: $ 1 <= 000001e3
@0000418c: $ 6 <= 000001e4
@00004180: $ 5 <= 000035dc
