ISim log file
Running: D:\Desktop\CO\P7\CPU\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/Desktop/CO/P7/CPU/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00003060: $ 1 <= 00000000
@00004180: $ 5 <= 00003064
@00004184: $ 4 <= 00003068
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 00003068
@00004184: $ 4 <= 0000306c
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 00003070
@00004184: $ 4 <= 00003074
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
@00004180: $ 5 <= 00003074
@00004184: $ 4 <= 00003078
@00004188: $ 1 <= 0000000c
@0000418c: $ 6 <= 0000000d
@00004180: $ 5 <= 00003078
@00004184: $ 4 <= 0000307c
@00004188: $ 1 <= 0000000f
@0000418c: $ 6 <= 00000010
@00004180: $ 5 <= 0000307c
@00004184: $ 4 <= 00003080
@00004188: $ 1 <= 00000012
@0000418c: $ 6 <= 00000013
@00004180: $ 5 <= 00003080
@00004184: $ 4 <= 00003084
@00004188: $ 1 <= 00000015
@0000418c: $ 6 <= 00000016
@00004180: $ 5 <= 00003084
@00004184: $ 4 <= 00003088
@00004188: $ 1 <= 00000018
@0000418c: $ 6 <= 00000019
@00004180: $ 5 <= 00003088
@00004184: $ 4 <= 0000308c
@00004188: $ 1 <= 0000001b
@0000418c: $ 6 <= 0000001c
@00004180: $ 5 <= 0000308c
@00004184: $ 4 <= 00003090
@00004188: $ 1 <= 0000001e
@0000418c: $ 6 <= 0000001f
@00004180: $ 5 <= 00003090
@00004184: $ 4 <= 00003094
@00004188: $ 1 <= 00000021
@0000418c: $ 6 <= 00000022
@00004180: $ 5 <= 00003094
@00004184: $ 4 <= 00003098
@00004188: $ 1 <= 00000024
@0000418c: $ 6 <= 00000025
@00004180: $ 5 <= 00003098
@00004184: $ 4 <= 0000309c
@00004188: $ 1 <= 00000027
@0000418c: $ 6 <= 00000028
@00004180: $ 5 <= 0000309c
@00004184: $ 4 <= 000030a0
@00004188: $ 1 <= 0000002a
@0000418c: $ 6 <= 0000002b
@00004180: $ 5 <= 000030a0
@00004184: $ 4 <= 000030a4
@00004188: $ 1 <= 0000002d
@0000418c: $ 6 <= 0000002e
@00004180: $ 5 <= 000030a4
@00004184: $ 4 <= 000030a8
@00004188: $ 1 <= 00000030
@0000418c: $ 6 <= 00000031
@00004180: $ 5 <= 000030a8
@00004184: $ 4 <= 000030ac
@00004188: $ 1 <= 00000033
@0000418c: $ 6 <= 00000034
@00004180: $ 5 <= 000030ac
@00004184: $ 4 <= 000030b0
@00004188: $ 1 <= 00000036
@0000418c: $ 6 <= 00000037
@00004180: $ 5 <= 000030b0
@00004184: $ 4 <= 000030b4
@00004188: $ 1 <= 00000039
@0000418c: $ 6 <= 0000003a
@00004180: $ 5 <= 000030b4
@00004184: $ 4 <= 000030b8
@00004188: $ 1 <= 0000003c
@0000418c: $ 6 <= 0000003d
@00004180: $ 5 <= 000030b8
@00004184: $ 4 <= 000030bc
@00004188: $ 1 <= 0000003f
@0000418c: $ 6 <= 00000040
@00004180: $ 5 <= 000030bc
@00004184: $ 4 <= 000030c0
@00004188: $ 1 <= 00000042
@0000418c: $ 6 <= 00000043
@000030c0: $ 1 <= 00000000
@00004180: $ 5 <= 000030c4
@00004184: $ 4 <= 000030c8
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 000030c8
@00004184: $ 4 <= 000030cc
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 000030cc
@00004184: $ 4 <= 000030d0
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
@00004180: $ 5 <= 000030d0
@00004184: $ 4 <= 000030d4
@00004188: $ 1 <= 0000000c
@0000418c: $ 6 <= 0000000d
@00004180: $ 5 <= 000030d4
@00004184: $ 4 <= 000030d8
@00004188: $ 1 <= 0000000f
@0000418c: $ 6 <= 00000010
@00004180: $ 5 <= 000030d8
@00004184: $ 4 <= 000030dc
@00004188: $ 1 <= 00000012
@0000418c: $ 6 <= 00000013
@00004180: $ 5 <= 000030dc
@00004184: $ 4 <= 000030e0
@00004188: $ 1 <= 00000015
@0000418c: $ 6 <= 00000016
@00004180: $ 5 <= 000030e0
@00004184: $ 4 <= 000030e4
@00004188: $ 1 <= 00000018
@0000418c: $ 6 <= 00000019
@00004180: $ 5 <= 000030e4
@00004184: $ 4 <= 000030e8
@00004188: $ 1 <= 0000001b
@0000418c: $ 6 <= 0000001c
@00004180: $ 5 <= 000030e8
@00004184: $ 4 <= 000030ec
@00004188: $ 1 <= 0000001e
@0000418c: $ 6 <= 0000001f
@00004180: $ 5 <= 000030ec
@00004184: $ 4 <= 000030f0
@00004188: $ 1 <= 00000021
@0000418c: $ 6 <= 00000022
@00004180: $ 5 <= 000030f0
@00004184: $ 4 <= 000030f4
@00004188: $ 1 <= 00000024
@0000418c: $ 6 <= 00000025
@00004180: $ 5 <= 000030f4
@00004184: $ 4 <= 000030f8
@00004188: $ 1 <= 00000027
@0000418c: $ 6 <= 00000028
@00004180: $ 5 <= 000030f8
@00004184: $ 4 <= 000030fc
@00004188: $ 1 <= 0000002a
@0000418c: $ 6 <= 0000002b
@00004180: $ 5 <= 000030fc
@00004184: $ 4 <= 00003100
@00004188: $ 1 <= 0000002d
@0000418c: $ 6 <= 0000002e
@00004180: $ 5 <= 00003100
@00004184: $ 4 <= 00003104
@00004188: $ 1 <= 00000030
@0000418c: $ 6 <= 00000031
@00004180: $ 5 <= 00003104
@00004184: $ 4 <= 00003108
@00004188: $ 1 <= 00000033
@0000418c: $ 6 <= 00000034
@00004180: $ 5 <= 00003108
@00004184: $ 4 <= 0000310c
@00004188: $ 1 <= 00000036
@0000418c: $ 6 <= 00000037
@00004180: $ 5 <= 0000310c
@00004184: $ 4 <= 00003110
@00004188: $ 1 <= 00000039
@0000418c: $ 6 <= 0000003a
@00004180: $ 5 <= 00003110
@00004184: $ 4 <= 00003114
@00004188: $ 1 <= 0000003c
@0000418c: $ 6 <= 0000003d
@00004180: $ 5 <= 00003114
@00004184: $ 4 <= 00003118
@00004188: $ 1 <= 0000003f
@0000418c: $ 6 <= 00000040
@00004180: $ 5 <= 00003118
@00004184: $ 4 <= 0000311c
@00004188: $ 1 <= 00000042
@0000418c: $ 6 <= 00000043
@00004180: $ 5 <= 0000311c
@00004184: $ 4 <= 00003120
@00004188: $ 1 <= 00000045
@0000418c: $ 6 <= 00000046
@00004180: $ 5 <= 00003120
@00004184: $ 4 <= 00003124
@00004188: $ 1 <= 00000048
@0000418c: $ 6 <= 00000049
@00004180: $ 5 <= 00003124
@00004184: $ 4 <= 00003128
@00004188: $ 1 <= 0000004b
@0000418c: $ 6 <= 0000004c
@00004180: $ 5 <= 00003128
@00004184: $ 4 <= 0000312c
@00004188: $ 1 <= 0000004e
@0000418c: $ 6 <= 0000004f
@00004180: $ 5 <= 0000312c
@00004184: $ 4 <= 00003130
@00004188: $ 1 <= 00000051
@0000418c: $ 6 <= 00000052
@00004180: $ 5 <= 00003130
@00004184: $ 4 <= 00003134
@00004188: $ 1 <= 00000054
@0000418c: $ 6 <= 00000055
@00004180: $ 5 <= 00003134
@00004184: $ 4 <= 00003138
@00004188: $ 1 <= 00000057
@0000418c: $ 6 <= 00000058
@00004180: $ 5 <= 00003138
@00004184: $ 4 <= 0000313c
@00004188: $ 1 <= 0000005a
@0000418c: $ 6 <= 0000005b
@00004180: $ 5 <= 0000313c
@00004184: $ 4 <= 00003140
@00004188: $ 1 <= 0000005d
@0000418c: $ 6 <= 0000005e
@00004180: $ 5 <= 00003140
@00004184: $ 4 <= 00003144
@00004188: $ 1 <= 00000060
@0000418c: $ 6 <= 00000061
@00004180: $ 5 <= 00003144
@00004184: $ 4 <= 00003148
@00004188: $ 1 <= 00000063
@0000418c: $ 6 <= 00000064
@00004180: $ 5 <= 00003148
@00004184: $ 4 <= 0000314c
@00004188: $ 1 <= 00000066
@0000418c: $ 6 <= 00000067
@00004180: $ 5 <= 0000314c
@00004184: $ 4 <= 00003150
@00004188: $ 1 <= 00000069
@0000418c: $ 6 <= 0000006a
@00004180: $ 5 <= 00003150
@00004184: $ 4 <= 00003154
@00004188: $ 1 <= 0000006c
@0000418c: $ 6 <= 0000006d
@00004180: $ 5 <= 00003154
@00004184: $ 4 <= 00003158
@00004188: $ 1 <= 0000006f
@0000418c: $ 6 <= 00000070
@00004180: $ 5 <= 00003158
@00004184: $ 4 <= 0000315c
@00004188: $ 1 <= 00000072
@0000418c: $ 6 <= 00000073
@00004180: $ 5 <= 0000315c
@00004184: $ 4 <= 00003160
@00004188: $ 1 <= 00000075
@0000418c: $ 6 <= 00000076
@00004180: $ 5 <= 00003160
@00004184: $ 4 <= 00003164
@00004188: $ 1 <= 00000078
@0000418c: $ 6 <= 00000079
@00004180: $ 5 <= 00003164
@00004184: $ 4 <= 00003168
@00004188: $ 1 <= 0000007b
@0000418c: $ 6 <= 0000007c
@00004180: $ 5 <= 00003168
@00004184: $ 4 <= 0000316c
@00004188: $ 1 <= 0000007e
@0000418c: $ 6 <= 0000007f
@00004180: $ 5 <= 0000316c
@00004184: $ 4 <= 00003170
@00004188: $ 1 <= 00000081
@0000418c: $ 6 <= 00000082
@00004180: $ 5 <= 00003170
@00004184: $ 4 <= 00003174
@00004188: $ 1 <= 00000084
@0000418c: $ 6 <= 00000085
@00004180: $ 5 <= 00003174
@00004184: $ 4 <= 00003178
@00004188: $ 1 <= 00000087
@0000418c: $ 6 <= 00000088
@00004180: $ 5 <= 00003178
@00004184: $ 4 <= 0000317c
@00004188: $ 1 <= 0000008a
@0000418c: $ 6 <= 0000008b
@00004180: $ 5 <= 0000317c
@00004184: $ 4 <= 00003180
@00004188: $ 1 <= 0000008d
@0000418c: $ 6 <= 0000008e
@00003180: $ 1 <= 00000000
@00004180: $ 5 <= 00003184
@00004184: $ 4 <= 00003188
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 00003188
@00004184: $ 4 <= 0000318c
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 00003190
@00004184: $ 4 <= 00003194
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
@00004180: $ 5 <= 00003194
@00004184: $ 4 <= 00003198
@00004188: $ 1 <= 0000000c
@0000418c: $ 6 <= 0000000d
@00004180: $ 5 <= 00003198
@00004184: $ 4 <= 0000319c
@00004188: $ 1 <= 0000000f
@0000418c: $ 6 <= 00000010
@00004180: $ 5 <= 0000319c
@00004184: $ 4 <= 000031a0
@00004188: $ 1 <= 00000012
@0000418c: $ 6 <= 00000013
@00004180: $ 5 <= 000031a0
@00004184: $ 4 <= 000031a4
@00004188: $ 1 <= 00000015
@0000418c: $ 6 <= 00000016
@00004180: $ 5 <= 000031a4
@00004184: $ 4 <= 000031a8
@00004188: $ 1 <= 00000018
@0000418c: $ 6 <= 00000019
@00004180: $ 5 <= 000031a8
@00004184: $ 4 <= 000031ac
@00004188: $ 1 <= 0000001b
@0000418c: $ 6 <= 0000001c
@00004180: $ 5 <= 000031ac
@00004184: $ 4 <= 000031b0
@00004188: $ 1 <= 0000001e
@0000418c: $ 6 <= 0000001f
@00004180: $ 5 <= 000031b0
@00004184: $ 4 <= 000031b4
@00004188: $ 1 <= 00000021
@0000418c: $ 6 <= 00000022
@00004180: $ 5 <= 000031b4
@00004184: $ 4 <= 000031b8
@00004188: $ 1 <= 00000024
@0000418c: $ 6 <= 00000025
@00004180: $ 5 <= 000031b8
@00004184: $ 4 <= 000031bc
@00004188: $ 1 <= 00000027
@0000418c: $ 6 <= 00000028
@00004180: $ 5 <= 000031bc
@00004184: $ 4 <= 000031c0
@00004188: $ 1 <= 0000002a
@0000418c: $ 6 <= 0000002b
@00004180: $ 5 <= 000031c0
@00004184: $ 4 <= 000031c4
